id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,other
3709,中央花园邻芳居,武昌,450,19421,5室2厅1厨4卫,高楼层 (共6层),231.71,跃层,207.79,板楼,南,混合结构,简装,一梯两户,无,null,2021/1/23,商品房,2012/12/12,普通住宅,满五年,非共有,有抵押 100万元 建设 客户偿还,已上传房本照片,202101260QcBV
3710,云鹤小区,硚口,195,7273,4室2厅1厨2卫,中楼层 (共8层),268.12,复式,暂无数据,板楼,南 北,混合结构,简装,两梯四户,有,null,2023/3/15,商品房,2002/3/15,普通住宅,满五年,共有,无抵押,已上传房本照片,20230315jpJmT
3711,轴馨苑,江岸,95,11767,2室2厅1厨1卫,中楼层 (共11层),80.74,平层,64.68,板塔结合,南,钢混结构,精装,两梯四户,有,null,2022/8/21,商品房,2012/3/27,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220826DK0NZ
3712,金色港湾一期,沌口,160,12703,3室2厅1厨2卫,低楼层 (共6层),126.35,错层,120,板楼,南 北,钢混结构,精装,一梯两户,无,null,2023/3/12,商品房,2010/3/4,普通住宅,满五年,非共有,无抵押,已上传房本照片,202303124YCFS
3713,水岸星城,武昌,218,22610,2室2厅1厨1卫,中楼层 (共53层),96.42,平层,暂无数据,板塔结合,南,钢混结构,精装,四梯六户,有,null,2022/7/13,商品房,2018/4/3,普通住宅,满五年,共有,有抵押 210万元 平安银行 业主自还,已上传房本照片,202207139gwpW
3714,金地艺境,东湖高新,167,18722,2室1厅1厨1卫,中楼层 (共34层),89.2,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,null,2023/4/28,商品房,2021/5/6,普通住宅,未满两年,非共有,有抵押 100万元,已上传房本照片,20230410iIfyM
3715,洪山坊社区,武昌,145,16540,3室1厅1厨1卫,中楼层 (共5层),87.67,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,null,2022/3/2,商品房,2020/11/3,普通住宅,满两年,非共有,无抵押,已上传房本照片,20220303dATRT
3716,绿地国际金融城一期,武昌,542,28269,4室2厅1厨2卫,高楼层 (共48层),191.73,平层,142.44,板楼,南 北,钢混结构,精装,三梯三户,有,null,2023/4/15,商品房,2016/3/25,普通住宅,满五年,非共有,有抵押 420万元,已上传房本照片,20230411e4Nce
3717,保利公园九里五期,洪山,305,25778,3室2厅1厨2卫,高楼层 (共33层),118.32,平层,92.63,塔楼,南 北,钢混结构,精装,两梯四户,有,null,2023/4/26,商品房,2018/8/15,普通住宅,满两年,共有,有抵押 80万元 平安银行 客户偿还,已上传房本照片,20211111SXion
3718,晒湖小区,武昌,108,13275,3室1厅1厨1卫,中楼层 (共7层),81.36,平层,暂无数据,塔楼,南 北,混合结构,简装,一梯四户,无,null,2023/4/12,商品房,2014/4/16,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230412GC6TE
3719,毛坦港湾A区,洪山,90,9826,2室2厅1厨1卫,中楼层 (共30层),91.6,平层,71.99,板楼,东,钢混结构,毛坯,两梯四户,有,null,2023/3/1,商品房,2023/4/13,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20230416ESIJk
3720,安友花园,江汉,148,12934,2室2厅1厨1卫,低楼层 (共7层),114.43,平层,102.58,板楼,北 南,钢混结构,精装,一梯两户,无,null,2023/4/27,商品房,2009/7/15,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230427WlydB
3721,福星城南区,江汉,114,14788,3室2厅1厨1卫,中楼层 (共45层),77.09,平层,暂无数据,板塔结合,东,钢混结构,简装,两梯九户,有,null,2023/2/3,商品房,2016/6/16,普通住宅,满五年,共有,无抵押,已上传房本照片,20230203Idh8N
3722,统建同安家园,江岸,195,14927,3室2厅1厨2卫,中楼层 (共11层),130.64,平层,109.32,塔楼,南 北,钢混结构,精装,一梯三户,有,null,2022/7/21,商品房,2015/4/28,普通住宅,满五年,共有,有抵押 35万元 邮政银行 客户偿还,已上传房本照片,202001015nSZV
3723,花山小区,江夏,105,6870,3室2厅1厨2卫,中楼层 (共6层),152.84,平层,暂无数据,板塔结合,东南,框架结构,简装,一梯两户,暂无数据,null,2021/3/4,商品房,2006/11/6,普通住宅,满五年,非共有,无抵押,已上传房本照片,202103259gBHn
3724,烽火茗盛绿堓,武昌,200,14436,4室2厅1厨2卫,中楼层 (共28层),138.55,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,null,2023/3/1,拆迁还建房,2021/3/10,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210324r5HRs
3725,新城璟汇,东西湖,90,12086,2室1厅1厨1卫,中楼层 (共25层),74.47,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,null,2022/12/1,商品房,2022/3/7,普通住宅,未满两年,非共有,有抵押 50万元 招商银行 业主自还,已上传房本照片,20221203GNSQ2
3726,恒大绿洲,蔡甸,117,7999,4室2厅1厨2卫,高楼层 (共32层),146.9,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,null,2023/3/29,商品房,2017/7/4,普通住宅,满五年,共有,无抵押,已上传房本照片,20230401AWPSp
3727,新华家园,江汉,208,13547,3室2厅1厨2卫,中楼层 (共21层),153.54,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯八户,有,null,2023/2/28,商品房,2018/11/13,普通住宅,满两年,共有,无抵押,已上传房本照片,20200714e0Gig
3728,碧桂园海昌天澜二期,东西湖,119,13264,2室2厅1厨1卫,中楼层 (共18层),89.72,平层,暂无数据,板楼,南,钢混结构,其他,两梯四户,有,null,2021/11/19,商品房,2016/10/13,普通住宅,满五年,非共有,无抵押,已上传房本照片,20211119WsRAg
3729,江湾兰亭,硚口,195,17788,3室2厅1厨2卫,高楼层 (共31层),109.63,平层,暂无数据,板塔结合,东南,钢混结构,毛坯,两梯四户,有,null,2023/2/25,商品房,2019/9/3,普通住宅,满两年,非共有,有抵押,已上传房本照片,20200623qMvQ3
3730,中大长江紫都二期,武昌,450,21698,4室3厅1厨4卫,高楼层 (共11层),207.4,复式,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,null,2023/4/7,商品房,2021/12/7,普通住宅,未满两年,非共有,有抵押 120万元 业主自还,已上传房本照片,20230407RPbCw
3731,梅花苑,武昌,104,9943,3室1厅1厨1卫,高楼层 (共7层),104.6,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,null,2023/3/30,商品房,2004/2/14,普通住宅,满五年,共有,无抵押,已上传房本照片,20220518iLLhj
3732,香榭花都四期君域,新洲,99,6873,4室2厅1厨2卫,中楼层 (共32层),144.06,平层,暂无数据,暂无数据,东南,钢混结构,毛坯,一梯三户,暂无数据,null,2023/4/5,商品房,2021/1/12,普通住宅,满两年,共有,无抵押,已上传房本照片,20230101N6wu5
3733,宝安阳光花园香樟里,武昌,260,33475,2室1厅1厨1卫,高楼层 (共18层),77.67,平层,63.66,板楼,南,钢混结构,其他,两梯四户,有,null,2023/4/17,商品房,2012/8/8,普通住宅,满五年,共有,无抵押,已上传房本照片,20230424YXiB7
3734,保利城,洪山,168,18474,2室2厅1厨1卫,低楼层 (共34层),90.94,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,有,null,2023/4/29,限价商品房,2020/8/19,普通住宅,满两年,共有,无抵押,已上传房本照片,20230429JdtbU
3735,电建地产盛世江城,江汉,219,22485,3室2厅1厨1卫,高楼层 (共42层),97.4,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,null,2023/3/6,商品房,2019/7/2,普通住宅,满两年,共有,有抵押 30万元 工行,已上传房本照片,202303068ODh7
3736,紫沙金苑,武昌,285,23986,4室1厅1厨2卫,中楼层 (共40层),118.82,平层,暂无数据,板楼,南,钢混结构,其他,三梯四户,有,null,2023/4/18,商品房,2017/12/8,普通住宅,满五年,共有,无抵押,已上传房本照片,20210127JCxv9
3737,星海蓝天,江岸,236,17992,3室2厅1厨2卫,中楼层 (共11层),131.17,平层,暂无数据,塔楼,南 东,钢混结构,精装,一梯三户,有,null,2022/1/5,商品房,2006/6/6,普通住宅,满五年,非共有,无抵押,已上传房本照片,20190404yJ5IG
3738,鸿发世纪城,江夏,126,10672,4室2厅1厨1卫,低楼层 (共33层),118.07,平层,89.01,板楼,南,钢混结构,精装,一梯四户,暂无数据,null,2023/2/24,商品房,2018/3/1,普通住宅,满五年,非共有,有抵押 66万元 中信银行 客户偿还,已上传房本照片,20230224XUnIP
3739,蓝光COCO时代,东湖高新,160,18259,3室2厅1厨1卫,低楼层 (共29层),87.63,平层,62.97,板塔结合,南 北,钢混结构,精装,两梯四户,有,null,2023/4/11,商品房,2019/4/15,普通住宅,满两年,非共有,有抵押 20万元 平安银行 业主自还,已上传房本照片,20230412XxbIs
3740,建港社区,汉阳,70,11981,2室1厅1厨1卫,中楼层 (共6层),58.43,平层,暂无数据,板楼,南,砖混结构,其他,一梯两户,无,null,2023/3/31,商品房,2019/2/8,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230212vUdYP
3741,安顺家园,武昌,409,31579,3室1厅1厨2卫,高楼层 (共18层),129.52,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯三户,有,null,2022/1/2,商品房,2010/9/28,普通住宅,满五年,非共有,有抵押 270万元 农商行 业主自还,已上传房本照片,202111271MK8X
3742,华储大厦,江岸,125,53396,1室0厅1厨1卫,低楼层 (共9层),23.41,平层,暂无数据,板楼,西南,钢混结构,精装,一梯八户,无,null,2023/4/23,商品房,2023/2/23,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20230315tvjHl
3743,华锦花园,武昌,400,19456,4室2厅1厨2卫,高楼层 (共6层),205.6,跃层,183.61,板楼,南 北,钢混结构,其他,一梯一户,无,null,2023/4/23,商品房,2016/5/11,普通住宅,满五年,共有,有抵押,已上传房本照片,20230425LSSFO
3744,楚天星座公寓,江汉,109,16262,2室1厅1厨1卫,低楼层 (共30层),67.03,平层,暂无数据,塔楼,东 北,钢混结构,其他,三梯九户,有,null,2023/4/21,商品房,2020/4/8,普通住宅,满两年,共有,有抵押,已上传房本照片,20220118HtG0S
3745,听涛观海,蔡甸,100,7786,3室2厅1厨2卫,中楼层 (共10层),128.45,平层,108.51,板楼,东南,钢混结构,精装,一梯两户,有,null,2022/2/10,商品房,2009/12/21,普通住宅,满五年,非共有,无抵押,已上传房本照片,20200927Gpgxj
3746,浩海小区,江汉,160,14357,3室2厅1厨2卫,高楼层 (共7层),111.45,复式,100,板楼,南 北,钢混结构,简装,一梯两户,无,null,2021/5/29,商品房,2004/12/1,普通住宅,满五年,共有,无抵押,已上传房本照片,202107015OggM
3747,江南新天地,江夏,140,12150,3室2厅1厨2卫,中楼层 (共32层),115.23,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,null,2021/11/23,商品房,2019/5/27,普通住宅,满两年,非共有,有抵押 90万元 客户偿还,已上传房本照片,20210409dvqfc
3748,自治社区,硚口,115,13547,2室1厅1厨1卫,中楼层 (共9层),84.89,平层,暂无数据,板楼,北 南,钢混结构,简装,一梯四户,无,null,2023/4/11,房改房,2014/5/29,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220511ZSKxb
3749,凯乐花园,武昌,713,27967,5室2厅1厨3卫,高楼层 (共28层),254.95,复式,198.49,板楼,南 北,钢混结构,简装,两梯四户,有,null,2021/5/22,商品房,2015/7/2,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210523pMN4X
3750,中建御景星城,硚口,310,24322,3室2厅1厨2卫,中楼层 (共33层),127.46,平层,暂无数据,暂无数据,南 北,钢混结构,其他,两梯四户,有,null,2022/7/15,商品房,2018/8/11,普通住宅,满两年,共有,无抵押,已上传房本照片,20220811PFUZp
3751,金龙琴台馨都,汉阳,132,10854,3室2厅1厨2卫,低楼层 (共32层),121.62,平层,暂无数据,板楼,东南 南,钢混结构,简装,两梯三户,有,null,2022/2/12,商品房,2021/4/30,普通住宅,满两年,非共有,无抵押,已上传房本照片,20220212qeeVM
3752,金榜名苑,武昌,189,24148,2室1厅1厨1卫,高楼层 (共29层),78.27,平层,60.02,板楼,东北,钢混结构,精装,三梯八户,有,null,2022/3/20,商品房,2020/5/8,普通住宅,满两年,共有,无抵押,已上传房本照片,20220506I6D7G
3753,当代东湖壹号,武昌,310,33928,3室2厅1厨1卫,高楼层 (共33层),91.37,平层,67.56,板塔结合,南 北,钢混结构,精装,两梯四户,有,null,2023/3/20,商品房,2015/2/16,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230321fWKWc
3754,惠风同庆花园蜜糖镇,江夏,115,15754,2室2厅1厨1卫,中楼层 (共18层),73,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,null,2023/4/6,商品房,2018/1/11,普通住宅,满五年,非共有,有抵押 57万元,已上传房本照片,20230407RggXP
3755,复地翠微新城四期,汉阳,285,15497,4室2厅1厨2卫,中楼层 (共6层),183.91,复式,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,null,2023/4/22,商品房,2007/6/4,普通住宅,满五年,共有,无抵押,已上传房本照片,20210906v39Da
3756,天宇盛世滨江,硚口,200,19492,2室2厅1厨2卫,低楼层 (共43层),102.61,平层,暂无数据,板塔结合,南 北,钢混结构,其他,三梯四户,有,null,2022/12/18,商品房,2018/8/12,普通住宅,满两年,共有,无抵押,已上传房本照片,20200925U24qE
3757,后官湖庭,蔡甸,82,7241,3室2厅1厨2卫,中楼层 (共18层),113.94,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,null,2023/2/1,商品房,2019/2/14,普通住宅,满两年,非共有,无抵押,已上传房本照片,20210403llyO5
3758,武汉天地三期,江岸,2080,67240,5室2厅1厨3卫,低楼层 (共41层),309.34,平层,暂无数据,板楼,东南,钢混结构,毛坯,三梯两户,有,null,2023/4/29,商品房,2018/8/7,普通住宅,满两年,非共有,无抵押,已上传房本照片,20220309shFUa
3759,东亭花园,武昌,224,16829,3室2厅1厨2卫,中楼层 (共11层),133.11,平层,112.16,板塔结合,南,钢混结构,简装,一梯两户,有,null,2021/3/24,商品房,2011/12/10,普通住宅,满五年,共有,无抵押,已上传房本照片,20210322hOOUW
3760,金色港湾五期,沌口,160,15351,3室1厅1厨1卫,中楼层 (共34层),104.23,平层,80.88,板楼,南,钢混结构,其他,三梯四户,有,null,2023/4/27,商品房,2019/8/19,普通住宅,满两年,共有,无抵押,已上传房本照片,20210530DBjFD
3761,沿海翡丽公馆,东西湖,86,9599,3室2厅1厨1卫,中楼层 (共33层),89.6,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,null,2023/3/9,商品房,2020/3/6,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230215Bjv2L
3762,欧洲花园,洪山,259,15414,4室2厅1厨2卫,中楼层 (共17层),168.03,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯六户,有,null,2022/10/9,商品房,2018/6/4,普通住宅,满两年,非共有,无抵押,已上传房本照片,20221019P03lJ
3763,万科汉口传奇锦棠,江汉,361,25114,3室2厅1厨2卫,中楼层 (共55层),143.75,平层,暂无数据,板楼,东南,钢混结构,精装,四梯四户,有,null,2023/4/18,商品房,2021/3/1,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230419CAHIq
3764,电建地产盛世江城,江汉,380,27107,3室2厅1厨2卫,高楼层 (共47层),140.19,平层,暂无数据,板楼,南,钢混结构,其他,两梯四户,有,null,2023/4/5,商品房,2019/8/7,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230407wBWcT
3765,楚汉新居,武昌,264,29828,2室2厅1厨1卫,中楼层 (共33层),88.51,平层,68.19,塔楼,南,钢混结构,精装,两梯四户,有,null,2023/4/6,商品房,2021/3/16,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230406K24ei
3766,喻园小区二期,东湖高新,500,27484,4室2厅1厨2卫,低楼层 (共12层),181.93,平层,153,塔楼,南 北,钢混结构,其他,一梯两户,有,null,2023/4/5,商品房,2014/4/2,普通住宅,满五年,非共有,无抵押,已上传房本照片,20200427ECiCK
3767,福星惠誉水岸国际澜桥公馆二期,武昌,260,28867,2室2厅1厨1卫,中楼层 (共52层),90.07,平层,暂无数据,塔楼,南,钢混结构,毛坯,四梯五户,有,null,2023/2/15,商品房,2019/10/8,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230216Lc9kh
3768,财政专员办家属区,武昌,335,20843,4室2厅1厨2卫,中楼层 (共8层),160.73,复式,暂无数据,板楼,南 北,钢混结构,简装,一梯一户,无,null,2023/4/9,商品房,2009/4/10,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220908umuke
3769,鼎盛华城,江岸,173,19354,3室1厅1厨1卫,低楼层 (共32层),89.39,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,null,2023/3/30,商品房,2019/12/12,普通住宅,满两年,共有,有抵押 41万元,已上传房本照片,20211103eynyP
3770,越秀国际金融汇,江汉,348,33650,3室1厅1厨1卫,低楼层 (共32层),103.42,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,null,2023/2/7,商品房,2018/4/9,普通住宅,满五年,共有,有抵押 40万元,已上传房本照片,20220721oK2eR
3771,瑞景天成,江岸,153,18481,2室2厅1厨1卫,高楼层 (共46层),82.79,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯八户,有,null,2023/3/29,商品房,2019/12/12,普通住宅,满两年,非共有,有抵押 107万元 民生 客户偿还,已上传房本照片,20230329C4bYi
3772,万景国际,江汉,180,20351,2室2厅1厨1卫,中楼层 (共30层),88.45,平层,暂无数据,板塔结合,西,钢混结构,其他,三梯十二户,有,null,2023/4/25,商品房,2017/4/11,普通住宅,满五年,共有,有抵押,已上传房本照片,20230501U08IC
3773,玉带家园,硚口,187,22110,2室2厅1厨1卫,高楼层 (共33层),84.58,平层,84.58,板楼,南,钢混结构,精装,两梯五户,有,null,2022/9/2,限价商品房,2019/9/6,普通住宅,满两年,共有,无抵押,已上传房本照片,202107155Lv2I
3774,江汉北村,江汉,129,15145,3室1厅1厨1卫,高楼层 (共8层),85.18,平层,暂无数据,板楼,东南,混合结构,其他,一梯两户,无,null,2023/3/28,商品房,2004/7/9,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230401wKtW9
3775,碧桂园翠堤春晓,汉南,66,6014,3室1厅1厨1卫,中楼层 (共18层),109.76,平层,90.73,暂无数据,南 北,钢混结构,精装,两梯四户,有,null,2022/3/15,商品房,2012/8/2,普通住宅,满五年,非共有,无抵押,已上传房本照片,20220328Mk5Wi
3776,中建星光城,东湖高新,213,18840,3室2厅1厨2卫,中楼层 (共31层),113.06,平层,89.56,板楼,南,钢混结构,毛坯,两梯四户,有,null,2023/3/26,商品房,2023/4/11,普通住宅,未满两年,非共有,有抵押 145万元,已上传房本照片,20230412T7UTj
3777,万科金域蓝湾,沌口,498,25992,5室2厅1厨3卫,中楼层 (共33层),191.6,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯两户,有,null,2021/7/28,商品房,2017/2/15,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210728koD7u
3778,惠誉花园,武昌,170,15672,2室1厅1厨1卫,低楼层 (共17层),108.48,平层,暂无数据,塔楼,南,钢混结构,其他,两梯四户,有,null,2023/4/30,商品房,2017/6/9,普通住宅,满五年,共有,无抵押,已上传房本照片,202112257aYTX
3779,南垸小区,硚口,120,12624,2室1厅1厨1卫,中楼层 (共7层),95.06,平层,暂无数据,塔楼,南 北,混合结构,精装,一梯两户,无,null,2021/7/9,商品房,2007/1/26,普通住宅,满五年,共有,无抵押,已上传房本照片,20200621D0LMR
3780,福星华府誉境,江汉,245,18711,3室1厅1厨2卫,低楼层 (共44层),130.94,平层,暂无数据,板楼,南,钢混结构,毛坯,三梯四户,有,null,2023/4/26,商品房,2020/1/6,普通住宅,满两年,非共有,无抵押,已上传房本照片,20200820QeCZk
3781,中民仁寿里,硚口,238,19044,3室2厅1厨2卫,中楼层 (共33层),124.98,平层,96.45,暂无数据,南 北,钢混结构,精装,两梯四户,有,null,2023/4/18,商品房,2017/4/27,普通住宅,满五年,共有,有抵押 110万元 金融公司垫资,已上传房本照片,202302198CRie
3782,九坤新城壹号御府,东西湖,43,11418,1室0厅1厨1卫,低楼层 (共32层),37.66,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,null,2023/3/17,商品房,2019/12/5,普通住宅,满两年,非共有,无抵押,已上传房本照片,202208289TK3Z
3783,保利心语六期,洪山,166,19220,3室2厅1厨1卫,低楼层 (共24层),86.37,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,null,2023/4/22,商品房,2017/9/4,普通住宅,满五年,共有,有抵押 68万元 工商银行 客户偿还,已上传房本照片,20230422E6afl
3784,中建光谷之星,东湖高新,480,25665,5室2厅1厨3卫,高楼层 (共20层),187.03,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,null,2023/2/21,商品房,2023/2/21,普通住宅,未满两年,非共有,无抵押,已上传房本照片,20230221Cagr3
3785,汉阳人信汇四期天誉,汉阳,220,17836,3室2厅1厨2卫,高楼层 (共48层),123.35,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,null,2023/3/16,商品房,2020/4/21,普通住宅,满两年,非共有,有抵押 110万元 客户偿还,已上传房本照片,20230314A1xX4
3786,世茂云锦玉海园,洪山,165,15992,3室2厅1厨2卫,低楼层 (共34层),103.18,平层,81.59,塔楼,西南,钢混结构,其他,两梯四户,有,null,2023/4/9,商品房,2020/10/21,普通住宅,满两年,非共有,无抵押,已上传房本照片,20230409bGqT0
3787,万科高尔夫城市花园,东西湖,111,12718,2室1厅1厨1卫,中楼层 (共31层),87.28,平层,暂无数据,板塔结合,东南,钢混结构,简装,三梯八户,有,null,2022/7/16,商品房,2013/2/1,普通住宅,满五年,非共有,有抵押 50万元 平安 业主自还,已上传房本照片,20220719eYl1Y
3788,中城悦城二期,江汉,453,30000,4室2厅1厨2卫,中楼层 (共33层),151,平层,109.69,板楼,南 北,钢混结构,精装,三梯四户,有,null,2022/5/27,商品房,2020/6/1,普通住宅,满两年,共有,无抵押,已上传房本照片,20220530XKgVQ
3789,泊湖天下一期,新洲,80,6560,3室2厅1厨2卫,低楼层 (共32层),121.96,平层,99,板楼,东南,钢混结构,精装,一梯四户,暂无数据,null,2021/11/14,商品房,2020/10/16,普通住宅,满两年,共有,有抵押,已上传房本照片,20210305hcsxX
3790,绿色家园,江汉,170,14763,3室2厅1厨2卫,低楼层 (共6层),115.16,平层,暂无数据,板楼,北 南,钢混结构,精装,一梯两户,无,null,2023/4/13,商品房,2016/4/7,普通住宅,满五年,共有,有抵押 100万元 平安银行 客户偿还,已上传房本照片,20230418QVME4
3791,新世纪宝安花园,武昌,238,26046,2室2厅1厨1卫,低楼层 (共6层),91.38,平层,81.18,板楼,南 北,钢混结构,简装,一梯两户,无,null,2023/4/15,商品房,2009/9/14,普通住宅,满五年,非共有,无抵押,已上传房本照片,20230415J2663
3792,大华南湖公园世家三期,洪山,191,19631,3室2厅1厨1卫,中楼层 (共26层),97.55,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯六户,有,null,2021/2/20,商品房,2016/11/8,普通住宅,满五年,非共有,有抵押 36万元 浦发银行,已上传房本照片,20210223UA2NH
3793,东原时光道,武昌,300,23748,4室2厅1厨2卫,中楼层 (共48层),126.33,平层,暂无数据,板塔结合,东南 西北,钢混结构,毛坯,两梯三户,有,null,2023/4/25,商品房,2019/6/20,普通住宅,满两年,共有,无抵押,已上传房本照片,202112022Gy3H
3794,金地自在城,洪山,165,18303,3室2厅1厨1卫,低楼层 (共29层),90.15,平层,70.82,板塔结合,南 北,钢混结构,精装,两梯六户,有,null,2022/11/6,商品房,2020/8/17,普通住宅,满两年,共有,有抵押 40万元 中国 客户偿还,已上传房本照片,20200819NJtgr
3795,新地盛世东方,江岸,208,17496,3室2厅1厨2卫,低楼层 (共18层),118.89,平层,95,板塔结合,东南 南 北,钢混结构,精装,两梯三户,有,null,2023/2/11,商品房,2016/3/15,普通住宅,满五年,共有,有抵押 35万元 建设银行 业主自还,已上传房本照片,20210815Of6K5
3796,金湖居,武昌,180,19547,2室2厅1厨1卫,中楼层 (共17层),92.09,平层,76.77,塔楼,南 北,钢混结构,简装,两梯四户,有,null,2023/3/10,商品房,2012/9/20,普通住宅,满五年,非共有,有抵押 100万元 客户偿还,已上传房本照片,20230312mHYnj
3797,海伦春天一期,沌口,153,15738,3室2厅1厨2卫,低楼层 (共30层),97.22,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,null,2023/4/15,商品房,2019/11/12,普通住宅,满两年,非共有,有抵押 29万元 业主自还,已上传房本照片,202005249ZGeA
3798,龙湖社区2期,蔡甸,66,4929,3室2厅1厨2卫,中楼层 (共17层),133.92,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,两梯四户,有,null,2023/4/23,拆迁还建房,2023/3/22,普通住宅,未满两年,共有,无抵押,已上传房本照片,20230423J6A0Z
3799,锦绣星城,蔡甸,78,5976,5室3厅1厨3卫,高楼层 (共7层),131.36,复式,118.54,板楼,南 北,钢混结构,精装,一梯两户,无,null,2019/8/9,商品房,2016/4/18,普通住宅,满五年,非共有,有抵押,已上传房本照片,20210619BpOfj
3800,江湾兰亭,硚口,165,16081,3室2厅1厨1卫,高楼层 (共46层),102.61,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,null,2022/2/18,商品房,2019/7/17,普通住宅,满两年,共有,有抵押 105万元,已上传房本照片,20210504qQSaX
3801,金色港湾双湖林语,沌口,193,16147,3室2厅1厨2卫,中楼层 (共34层),119.53,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,null,2022/7/8,商品房,2020/12/1,普通住宅,满两年,非共有,有抵押,已上传房本照片,20220709bP05e
3802,怡和苑北区,江岸,216,18031,3室2厅1厨2卫,低楼层 (共6层),119.8,错层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,null,2023/4/6,商品房,2019/8/1,普通住宅,满两年,非共有,有抵押 建设银行,已上传房本照片,20230407ATkpB
3803,吉祥谷,江岸,60,17815,2室1厅1厨1卫,中楼层 (共17层),33.68,复式,23.76,塔楼,南,钢混结构,精装,两梯十七户,有,null,2023/4/27,商品房,2010/8/11,普通住宅,满五年,非共有,无抵押,已上传房本照片,202304283JnVK
3804,江南家园,东湖高新,226,16839,3室2厅1厨2卫,高楼层 (共6层),134.22,平层,122.3,板楼,东南,钢混结构,简装,一梯两户,无,null,2021/5/14,商品房,2013/3/6,普通住宅,满五年,非共有,无抵押,已上传房本照片,20210516ptbAj
3805,依山龙郡,蔡甸,63,7215,2室1厅1厨1卫,高楼层 (共33层),87.32,平层,暂无数据,板楼,东南,钢混结构,毛坯,两梯一户,有,null,2021/5/10,商品房,2020/9/10,普通住宅,满两年,共有,有抵押 34万元 农业银行 业主自还,已上传房本照片,20210511oCchO
3806,中国核建锦城,蔡甸,125,8644,4室2厅1厨2卫,中楼层 (共33层),144.62,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,null,2021/6/13,商品房,2020/8/24,普通住宅,满两年,共有,无抵押,已上传房本照片,20210613vyv8f
3807,东源小区,硚口,105,15568,2室1厅1厨1卫,低楼层 (共15层),67.45,平层,暂无数据,塔楼,南 北,钢混结构,简装,一梯五户,有,null,2023/3/29,集资房,2018/6/25,普通住宅,满两年,共有,无抵押,已上传房本照片,20230330ldBSy
